work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid Level,Full time,Data Scientist,79833,DE,On-site,DE,Large
2020,Senior Level,Full time,Machine Learning Scientist,260000,JP,On-site,JP,Small
2020,Senior Level,Full time,Big Data Engineer,109024,GB,Hybrid,GB,Medium
2020,Mid Level,Full time,other,20000,other,On-site,other,Small
2020,Senior Level,Full time,Machine Learning Engineer,150000,US,Hybrid,US,Large
2020,Entry Level,Full time,Data Analyst,72000,US,Remote,US,Large
2020,Senior Level,Full time,other,190000,US,Remote,US,Small
2020,Mid Level,Full time,Data Scientist,35735,other,Hybrid,other,Large
2020,Mid Level,Full time,other,135000,US,Remote,US,Large
2020,Senior Level,Full time,other,125000,other,Hybrid,other,Small
2020,Entry Level,Full time,Data Scientist,51321,FR,On-site,FR,Small
2020,Mid Level,Full time,Data Scientist,40481,IN,On-site,IN,Large
2020,Entry Level,Full time,Data Scientist,39916,FR,On-site,FR,Medium
2020,Mid Level,Full time,other,87000,US,Remote,US,Large
2020,Mid Level,Full time,Data Analyst,85000,US,Remote,US,Large
2020,Mid Level,Full time,Data Analyst,8000,PK,Hybrid,other,Large
2020,Entry Level,Full time,Data Engineer,41689,JP,Remote,JP,Small
2020,Senior Level,Full time,Big Data Engineer,114047,other,Remote,GB,Small
2020,Entry Level,Full time,other,5707,IN,Hybrid,IN,Medium
2020,Mid Level,Full time,other,56000,PT,Remote,US,Medium
2020,Mid Level,Full time,Machine Learning Engineer,43331,other,On-site,other,Medium
2020,Mid Level,Full time,other,6072,IN,Remote,IN,Large
2020,Senior Level,Full time,Data Engineer,47899,GR,Hybrid,GR,Large
2020,Mid Level,Full time,other,98000,US,On-site,US,Medium
2020,Mid Level,Full time,other,115000,other,On-site,other,Large
2020,Executive Level,Full time,other,325000,US,Remote,US,Large
2020,Entry Level,Full time,Research Scientist,42000,other,Hybrid,other,Large
2020,Senior Level,Full time,Data Engineer,33511,other,On-site,other,Small
2020,Entry Level,Contract,other,100000,US,Remote,US,Large
2020,Senior Level,Full time,other,117104,CA,Hybrid,CA,Large
2020,Mid Level,Full time,other,59303,DE,Remote,DE,Small
2020,Entry Level,Full time,Big Data Engineer,70000,US,Remote,US,Large
2020,Senior Level,Full time,Data Scientist,68428,GR,Remote,US,Large
2020,Mid Level,Full time,Research Scientist,450000,US,On-site,US,Medium
2020,Mid Level,Full time,Data Analyst,46759,FR,Hybrid,FR,Large
2020,Mid Level,Full time,Data Engineer,74130,other,Hybrid,other,Large
2020,Mid Level,Full time,other,103000,US,Remote,US,Large
2020,Entry Level,Full time,Machine Learning Engineer,250000,US,Hybrid,US,Large
2020,Entry Level,Full time,Data Analyst,10000,other,Remote,other,Small
2020,Entry Level,Full time,Machine Learning Engineer,138000,US,Remote,US,Small
2020,Mid Level,Full time,Data Scientist,45760,other,Remote,US,Small
2020,Executive Level,Full time,other,79833,ES,Hybrid,ES,Large
2020,Mid Level,Full time,other,50180,PT,On-site,other,Medium
2020,Mid Level,Full time,Data Engineer,106000,US,Remote,US,Large
2020,Mid Level,Full time,Data Engineer,112872,GB,Hybrid,GB,Large
2020,Entry Level,Part time,other,15966,DE,Remote,DE,Small
2020,Mid Level,Full time,Data Scientist,76958,GB,Remote,GB,Small
2020,Senior Level,Full time,Data Engineer,188000,US,Remote,US,Large
2020,Mid Level,Full time,Data Scientist,105000,US,Remote,US,Large
2020,Mid Level,Full time,Data Engineer,70139,FR,Hybrid,FR,Large
2020,Entry Level,Full time,Data Analyst,6072,IN,On-site,IN,Small
2020,Entry Level,Full time,Data Analyst,91000,US,Remote,US,Large
2020,Entry Level,Full time,other,45896,other,Hybrid,other,Small
2020,Entry Level,Full time,Data Engineer,54742,PK,Remote,DE,Large
2020,Senior Level,Freelance,other,60000,other,Remote,US,Small
2020,Senior Level,Full time,other,148261,DE,Remote,DE,Medium
2020,Mid Level,Full time,Data Scientist,38776,ES,Remote,ES,Medium
2020,Mid Level,Full time,Data Scientist,118000,US,Remote,US,Medium
2020,Senior Level,Full time,Data Scientist,120000,US,Hybrid,US,Large
2020,Mid Level,Full time,Data Scientist,138350,US,Remote,US,Medium
2020,Mid Level,Full time,Data Engineer,110000,US,Remote,US,Large
2020,Mid Level,Full time,Data Engineer,130800,ES,Remote,US,Medium
2020,Entry Level,Part time,Data Scientist,21669,other,Hybrid,other,Small
2020,Senior Level,Full time,Data Scientist,412000,US,Remote,US,Large
2020,Senior Level,Full time,Machine Learning Engineer,45618,other,Remote,other,Small
2020,Entry Level,Full time,Data Scientist,62726,DE,Hybrid,DE,Small
2020,Entry Level,Full time,Data Scientist,49268,DE,On-site,DE,Small
2020,Senior Level,Full time,Data Science Manager,190200,US,Remote,US,Medium
2020,Entry Level,Full time,Data Scientist,105000,US,Remote,US,Small
2020,Senior Level,Full time,Data Scientist,91237,other,On-site,other,Small
2020,Mid Level,Full time,Data Scientist,62726,FR,Hybrid,other,Small
2020,Mid Level,Full time,Data Scientist,42197,FR,Hybrid,FR,Small
2021,Entry Level,Full time,Research Scientist,82528,GB,Hybrid,GB,Large
2021,Executive Level,Full time,other,150000,IN,Remote,US,Large
2021,Executive Level,Full time,other,235000,US,Remote,US,Large
2021,Senior Level,Full time,Data Scientist,53192,FR,Hybrid,FR,Large
2021,Mid Level,Full time,other,100000,US,Remote,US,Medium
2021,Mid Level,Part time,other,5409,IN,Hybrid,IN,Medium
2021,Mid Level,Contract,other,270000,US,Remote,US,Large
2021,Entry Level,Full time,Data Analyst,80000,US,Remote,US,Medium
2021,Senior Level,Full time,other,79197,DE,Remote,DE,Large
2021,Mid Level,Full time,Data Engineer,140000,US,Remote,US,Large
2021,Mid Level,Full time,other,54238,GB,Hybrid,CA,Large
2021,Mid Level,Full time,Machine Learning Engineer,47282,ES,Remote,ES,Small
2021,Executive Level,Full time,other,153667,other,Remote,other,Large
2021,Mid Level,Full time,Data Engineer,28476,other,Remote,other,Large
2021,Entry Level,Full time,Data Analyst,59102,FR,Hybrid,FR,Medium
2021,Mid Level,Full time,other,110000,US,Remote,US,Large
2021,Senior Level,Full time,other,170000,US,Remote,US,Large
2021,Senior Level,Full time,Data Analyst,80000,other,Remote,US,Small
2021,Senior Level,Full time,other,88654,GR,Remote,other,Large
2021,Entry Level,Full time,other,76833,DE,Remote,DE,Small
2021,Mid Level,Full time,other,19609,IN,Remote,IN,Large
2021,Senior Level,Full time,other,276000,US,On-site,US,Large
2021,Entry Level,Full time,Data Scientist,29751,IN,Hybrid,IN,Large
2021,Mid Level,Full time,other,89294,other,Hybrid,other,Large
2021,Entry Level,Part time,other,12000,BR,Remote,US,Small
2021,Mid Level,Full time,other,450000,US,Remote,US,Large
2021,Entry Level,Full time,other,70000,US,Remote,US,Medium
2021,Mid Level,Full time,other,95746,DE,Remote,US,Small
2021,Mid Level,Full time,Data Analyst,75000,US,On-site,US,Large
2021,Senior Level,Full time,Data Engineer,150000,US,Remote,US,Large
2021,Mid Level,Full time,other,36259,other,Hybrid,US,Large
2021,Mid Level,Full time,Data Analyst,62000,US,On-site,US,Large
2021,Mid Level,Full time,Data Scientist,73000,US,On-site,US,Large
2021,Mid Level,Full time,Data Analyst,51519,GB,Hybrid,GB,Large
2021,Mid Level,Full time,Research Scientist,187442,CA,Remote,CA,Large
2021,Senior Level,Full time,Data Engineer,115000,US,Remote,US,Small
2021,Senior Level,Full time,Data Engineer,150000,US,Remote,US,Medium
2021,Entry Level,Full time,Data Engineer,30428,IN,Remote,IN,Large
2021,Senior Level,Full time,Machine Learning Engineer,94564,DE,Hybrid,DE,Large
2021,Senior Level,Full time,other,113476,GB,Remote,GB,Medium
2021,Senior Level,Full time,other,103160,GB,Remote,GB,Small
2021,Entry Level,Part time,other,12000,PK,Remote,US,Medium
2021,Mid Level,Full time,Data Engineer,45391,other,Remote,other,Large
2021,Entry Level,Full time,Machine Learning Scientist,225000,US,Remote,US,Large
2021,Mid Level,Full time,Data Scientist,50000,other,Remote,other,Large
2021,Mid Level,Full time,other,40189,GR,Remote,GR,Medium
2021,Entry Level,Full time,Data Analyst,90000,US,Remote,US,Small
2021,Mid Level,Full time,Data Engineer,200000,US,Remote,US,Large
2021,Mid Level,Full time,Big Data Engineer,60000,ES,Hybrid,other,Medium
2021,Senior Level,Full time,other,200000,US,Remote,US,Medium
2021,Entry Level,Full time,Data Analyst,50000,US,Remote,US,Medium
2021,Entry Level,Full time,other,110037,GB,On-site,GB,Large
2021,Entry Level,Part time,Data Analyst,10354,ES,Hybrid,ES,Medium
2021,Mid Level,Full time,other,151000,US,Remote,US,Large
2021,Senior Level,Full time,Machine Learning Scientist,120000,US,Hybrid,US,Small
2021,Mid Level,Full time,Data Scientist,9466,IN,On-site,IN,Small
2021,Entry Level,Full time,Machine Learning Engineer,20000,IN,Remote,IN,Small
2021,Senior Level,Full time,other,40570,IN,Hybrid,IN,Large
2021,Entry Level,Full time,other,100000,other,Hybrid,other,Small
2021,Entry Level,Full time,Data Scientist,49646,FR,Hybrid,FR,Medium
2021,Mid Level,Full time,other,38400,other,Remote,US,Medium
2021,Senior Level,Full time,other,24000,BR,Remote,other,Medium
2021,Entry Level,Full time,Data Scientist,100000,US,On-site,US,Small
2021,Mid Level,Full time,Data Analyst,90000,US,Remote,US,Medium
2021,Mid Level,Full time,other,63711,JP,Hybrid,JP,Small
2021,Mid Level,Full time,other,77364,JP,Hybrid,JP,Small
2021,Senior Level,Full time,other,220000,US,On-site,US,Large
2021,Entry Level,Full time,Data Scientist,80000,US,Remote,US,Medium
2021,Mid Level,Full time,Data Analyst,135000,US,Remote,US,Large
2021,Senior Level,Full time,Data Science Manager,240000,US,On-site,US,Large
2021,Senior Level,Full time,other,150000,US,On-site,US,Large
2021,Mid Level,Full time,Data Scientist,82500,US,Remote,US,Small
2021,Mid Level,Full time,Data Engineer,100000,US,Remote,US,Large
2021,Senior Level,Full time,Machine Learning Engineer,82744,other,Hybrid,other,Medium
2021,Mid Level,Full time,Research Scientist,62649,FR,Hybrid,FR,Medium
2021,Mid Level,Full time,Data Engineer,90000,US,Remote,US,Large
2021,Senior Level,Full time,other,153000,US,Remote,US,Large
2021,Senior Level,Full time,other,160000,BR,Remote,US,Small
2021,Senior Level,Full time,other,168000,JP,On-site,JP,Small
2021,Mid Level,Full time,Data Scientist,150000,US,Remote,US,Medium
2021,Mid Level,Full time,Data Scientist,75774,CA,Remote,CA,Large
2021,Entry Level,Full time,Data Scientist,13400,other,Remote,other,Large
2021,Senior Level,Full time,Data Science Manager,144000,US,Remote,US,Large
2021,Senior Level,Full time,other,127221,CA,Hybrid,CA,Large
2021,Mid Level,Full time,Data Scientist,119059,other,Remote,other,Medium
2021,Mid Level,Full time,other,423000,US,Hybrid,US,Large
2021,Senior Level,Full time,other,120000,US,Remote,US,Medium
2021,Entry Level,Full time,Machine Learning Engineer,125000,US,Remote,US,Small
2021,Executive Level,Full time,other,230000,other,Hybrid,other,Large
2021,Executive Level,Full time,other,85000,other,On-site,other,Medium
2021,Mid Level,Full time,Data Engineer,28369,other,Hybrid,other,Large
2021,Entry Level,Full time,other,63831,DE,Hybrid,DE,Large
2021,Executive Level,Full time,other,130026,DE,Hybrid,DE,Medium
2021,Senior Level,Full time,other,165000,US,Remote,US,Large
2021,Entry Level,Full time,Data Engineer,80000,US,Remote,US,Large
2021,Executive Level,Full time,other,250000,US,On-site,US,Large
2021,Entry Level,Full time,other,55000,US,Hybrid,US,Small
2021,Mid Level,Full time,Data Architect,150000,US,Remote,US,Large
2021,Mid Level,Full time,Data Architect,170000,US,Remote,US,Large
2021,Mid Level,Full time,Data Engineer,82528,GB,Remote,GB,Large
2021,Entry Level,Full time,Data Analyst,60000,US,Remote,US,Small
2021,Senior Level,Full time,other,235000,US,Remote,US,Large
2021,Senior Level,Full time,Research Scientist,60757,PT,Hybrid,other,Large
2021,Senior Level,Full time,other,174000,US,Remote,US,Large
2021,Mid Level,Full time,Data Scientist,2859,other,On-site,other,Small
2021,Mid Level,Full time,Data Scientist,40038,other,Remote,other,Large
2021,Entry Level,Full time,Machine Learning Engineer,81000,US,Hybrid,US,Small
2021,Mid Level,Full time,Data Scientist,5679,IN,Remote,US,Small
2021,Mid Level,Full time,Big Data Engineer,22611,IN,On-site,IN,Large
2021,Mid Level,Full time,Data Scientist,90734,DE,Hybrid,DE,Large
2021,Mid Level,Full time,Data Engineer,26005,other,On-site,US,Large
2021,Senior Level,Full time,other,61896,GB,Hybrid,GB,Large
2021,Mid Level,Freelance,Machine Learning Scientist,12000,PK,Hybrid,other,Medium
2021,Mid Level,Full time,Data Engineer,4000,other,Remote,other,Medium
2021,Senior Level,Full time,other,50000,other,Remote,GB,Medium
2021,Executive Level,Full time,other,69741,FR,Remote,ES,Small
2021,Senior Level,Full time,Data Engineer,76833,other,Hybrid,GB,Small
2021,Mid Level,Full time,Machine Learning Engineer,74000,JP,Hybrid,JP,Small
2021,Senior Level,Full time,Data Science Manager,152000,US,Remote,FR,Large
2021,Entry Level,Full time,Machine Learning Engineer,21844,other,Hybrid,other,Medium
2021,Mid Level,Full time,Big Data Engineer,18000,other,On-site,other,Small
2021,Senior Level,Full time,Data Science Manager,174000,US,Remote,US,Large
2021,Senior Level,Full time,Research Scientist,96113,CA,Hybrid,CA,Large
2021,Mid Level,Full time,Data Scientist,147000,US,Hybrid,US,Large
2021,Entry Level,Full time,other,9272,other,Remote,other,Small
2021,Senior Level,Full time,Machine Learning Engineer,24342,IN,Remote,IN,Large
2021,Senior Level,Full time,Data Science Manager,54094,IN,Hybrid,US,Large
2021,Entry Level,Full time,other,90000,US,Remote,US,Small
2021,Mid Level,Full time,Data Scientist,61467,DE,Hybrid,other,Medium
2021,Senior Level,Full time,other,195000,US,Remote,US,Medium
2021,Mid Level,Full time,Data Scientist,37825,ES,Remote,ES,Large
2021,Senior Level,Full time,Research Scientist,50000,FR,Remote,US,Small
2021,Mid Level,Full time,Data Scientist,160000,US,Remote,US,Large
2021,Mid Level,Full time,Data Scientist,12901,BR,On-site,other,Small
2021,Senior Level,Full time,Machine Learning Engineer,200000,US,Remote,US,Large
2021,Senior Level,Full time,Data Engineer,165000,US,On-site,US,Medium
2021,Mid Level,Freelance,Data Engineer,20000,other,On-site,US,Large
2021,Senior Level,Full time,other,120000,US,On-site,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,24823,other,Hybrid,other,Large
2021,Mid Level,Full time,Research Scientist,56738,FR,Hybrid,FR,Small
2021,Mid Level,Full time,Data Engineer,66022,other,Hybrid,GB,Small
2021,Entry Level,Full time,Big Data Engineer,5882,IN,On-site,other,Large
2021,Entry Level,Full time,Machine Learning Engineer,24823,DE,Hybrid,DE,Medium
2021,Senior Level,Full time,other,185000,US,Remote,US,Large
2021,Entry Level,Part time,other,28609,other,Hybrid,other,Small
2021,Mid Level,Full time,Data Scientist,90734,DE,Hybrid,DE,Large
2021,Mid Level,Full time,Machine Learning Engineer,88654,other,Remote,other,Medium
2021,Senior Level,Full time,other,140000,US,Remote,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,46597,other,Remote,other,Large
2021,Mid Level,Full time,Data Scientist,116914,GB,Hybrid,GB,Large
2021,Mid Level,Full time,Data Scientist,33808,IN,On-site,IN,Medium
2021,Mid Level,Full time,Data Scientist,56256,GB,Hybrid,GB,Large
2021,Senior Level,Full time,Machine Learning Scientist,225000,US,Remote,CA,Large
2021,Executive Level,Contract,other,416000,US,Remote,US,Small
2021,Senior Level,Full time,Data Scientist,87738,CA,Remote,CA,Small
2021,Mid Level,Full time,Data Scientist,88654,DE,Hybrid,DE,Large
2021,Senior Level,Full time,Data Scientist,135000,US,On-site,US,Large
2021,Senior Level,Full time,Data Analyst,71786,CA,Remote,CA,Medium
2021,Entry Level,Full time,Big Data Engineer,16228,IN,Remote,IN,Large
2021,Senior Level,Full time,other,256000,US,Remote,US,Small
2021,Senior Level,Full time,other,200000,US,Remote,US,Large
2021,Senior Level,Full time,Data Analyst,200000,US,Remote,US,Large
2021,Mid Level,Full time,Data Architect,180000,US,Remote,US,Large
2021,Mid Level,Full time,other,110000,US,On-site,US,Small
2021,Mid Level,Full time,Research Scientist,63810,CA,Remote,CA,Medium
2021,Mid Level,Full time,Data Scientist,46809,ES,Remote,ES,Medium
2021,Entry Level,Full time,Data Scientist,4000,other,On-site,other,Medium
2021,Entry Level,Full time,Data Engineer,21637,IN,Hybrid,IN,Medium
2021,Senior Level,Full time,Data Scientist,103691,CA,Remote,CA,Large
2021,Mid Level,Full time,Data Analyst,80000,US,Remote,US,Large
2021,Mid Level,Full time,Data Engineer,110000,US,Remote,US,Large
2021,Senior Level,Full time,Data Scientist,165000,US,Remote,US,Large
2021,Entry Level,Full time,other,18053,IN,Remote,other,Small
2021,Mid Level,Full time,Data Engineer,72212,GB,Hybrid,GB,Large
2021,Entry Level,Full time,Data Scientist,36643,FR,Hybrid,FR,Large
2021,Mid Level,Full time,Data Engineer,12103,other,On-site,other,Medium
2021,Senior Level,Full time,Data Engineer,96282,GB,Hybrid,GB,Large
2021,Senior Level,Full time,other,170000,US,Remote,US,Medium
2021,Mid Level,Full time,Data Scientist,115000,US,Hybrid,US,Large
2021,Entry Level,Full time,Data Scientist,90000,US,Remote,US,Small
2021,Executive Level,Full time,other,600000,US,Remote,US,Large
2021,Entry Level,Full time,Data Scientist,28399,IN,Remote,IN,Medium
2021,Mid Level,Full time,Data Analyst,93000,US,Remote,US,Large
2021,Senior Level,Full time,other,99703,CA,Hybrid,CA,Medium
2021,Mid Level,Full time,Data Engineer,200000,US,Remote,US,Large
2021,Senior Level,Full time,other,173762,DE,Remote,DE,Medium
2021,Senior Level,Full time,Machine Learning Engineer,185000,US,Hybrid,US,Large
2021,Executive Level,Full time,other,141846,DE,On-site,DE,Large
2021,Mid Level,Full time,Data Scientist,130000,US,Hybrid,US,Large
2021,Senior Level,Full time,Data Analyst,63831,DE,Hybrid,DE,Large
2021,Mid Level,Full time,Data Scientist,16904,IN,Remote,IN,Small
2021,Senior Level,Full time,Machine Learning Engineer,66265,IN,On-site,IN,Large
2021,Mid Level,Full time,Data Scientist,25532,other,Remote,DE,Small
2021,Senior Level,Full time,other,160000,other,Hybrid,US,Small
2021,Mid Level,Full time,Data Engineer,93150,US,On-site,US,Medium
2021,Mid Level,Full time,Data Engineer,111775,US,On-site,US,Medium
2021,Mid Level,Full time,Data Engineer,28016,other,Remote,other,Medium
2021,Entry Level,Full time,Data Engineer,65013,DE,Hybrid,DE,Medium
2021,Entry Level,Full time,Data Engineer,72500,US,Remote,US,Large
2021,Senior Level,Full time,other,18907,BR,On-site,other,Medium
2021,Entry Level,Full time,other,76833,DE,On-site,DE,Large
2021,Entry Level,Full time,Machine Learning Engineer,85000,other,Remote,DE,Small
2021,Senior Level,Full time,Data Scientist,77684,FR,Hybrid,FR,Medium
2021,Entry Level,Full time,Data Scientist,100000,US,Remote,US,Medium
2021,Entry Level,Full time,Data Scientist,58000,US,Hybrid,US,Large
2021,Senior Level,Full time,other,55000,ES,Remote,ES,Large
2021,Senior Level,Full time,Data Scientist,20171,other,Hybrid,other,Large
2021,Entry Level,Full time,other,59102,other,Remote,other,Large
2021,Mid Level,Full time,Data Engineer,112000,US,Remote,US,Large
2021,Entry Level,Full time,Research Scientist,100000,other,On-site,other,Large
2021,Mid Level,Part time,Data Engineer,69741,other,Remote,other,Large
2021,Senior Level,Contract,other,105000,US,Remote,US,Medium
2021,Mid Level,Full time,Research Scientist,69999,other,Hybrid,other,Large
2021,Senior Level,Full time,Data Science Manager,94665,IN,Hybrid,IN,Large
2021,Senior Level,Full time,other,102839,other,Remote,other,Large
2021,Mid Level,Full time,Data Scientist,109000,US,Hybrid,US,Large
2021,Mid Level,Full time,Machine Learning Engineer,51064,other,Hybrid,other,Large
2022,Senior Level,Full time,Data Engineer,135000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,155000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,120600,US,Remote,US,Medium
2022,Mid Level,Full time,Data Scientist,130000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Scientist,90000,US,On-site,US,Medium
2022,Mid Level,Full time,Data Engineer,170000,US,Remote,US,Medium
2022,Mid Level,Full time,Data Engineer,150000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,102100,US,Remote,US,Medium
2022,Senior Level,Full time,Data Analyst,84900,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,136620,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,99360,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,117789,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,104702,GB,On-site,GB,Medium
2022,Senior Level,Full time,Data Scientist,146000,US,Remote,US,Medium
2022,Senior Level,Full time,Data Scientist,123000,US,Remote,US,Medium
2022,Entry Level,Full time,Data Engineer,52351,GB,Remote,GB,Medium
